"No.","Time","Source","Destination","Protocol","Length","Info"
"101","24.164755300","10.101.1.29","10.101.1.28","TCP","54","62299  >  7680 [ACK] Seq=76 Ack=2 Win=65280 Len=0"
"102","24.164755300","10.101.1.29","10.101.1.28","TCP","54","62299  >  7680 [FIN, ACK] Seq=76 Ack=2 Win=65280 Len=0"
"103","24.164952600","10.101.1.28","10.101.1.29","TCP","54","7680  >  62299 [ACK] Seq=2 Ack=77 Win=65280 Len=0"
"104","24.325544600","10.101.1.28","8.8.8.8","DNS","89","Standard query 0x4531 A v10.events.data.microsoft.com"
"105","24.359165900","10.101.1.28","1.1.1.1","DNS","89","Standard query 0x4531 A v10.events.data.microsoft.com"
"106","24.362139000","8.8.8.8","10.101.1.28","DNS","230","Standard query response 0x4531 A v10.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdweu09.westeurope.cloudapp.azure.com A 13.69.116.107"
"107","24.363828900","10.101.1.28","13.69.116.107","TCP","66","57651  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"108","24.402064400","1.1.1.1","10.101.1.28","DNS","226","Standard query response 0x4531 A v10.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdwus09.westus.cloudapp.azure.com A 20.189.173.10"
"109","24.422121600","13.69.116.107","10.101.1.28","TCP","66","443  >  57651 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"110","24.422408700","10.101.1.28","13.69.116.107","TCP","54","57651  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"111","24.423987300","10.101.1.28","13.69.116.107","TLSv1.2","266","Client Hello (SNI=v10.events.data.microsoft.com)"
"112","24.453080100","10.101.1.28","157.240.5.52","TLSv1.2","122","Application Data"
"113","24.492085000","157.240.5.52","10.101.1.28","TCP","60","443  >  59673 [ACK] Seq=71 Ack=137 Win=311 Len=0"
"114","24.502393900","13.69.116.107","10.101.1.28","TCP","2958","443  >  57651 [ACK] Seq=1 Ack=213 Win=4194560 Len=2904 [TCP PDU reassembled in 115]"
"115","24.502393900","13.69.116.107","10.101.1.28","TLSv1.2","1385","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"116","24.502676500","10.101.1.28","13.69.116.107","TCP","54","57651  >  443 [ACK] Seq=213 Ack=4236 Win=65280 Len=0"
"117","24.510440500","10.101.1.28","13.69.116.107","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"118","24.552032400","157.240.5.52","10.101.1.28","TLSv1.2","124","Application Data"
"119","24.571857700","13.69.116.107","10.101.1.28","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"120","24.571857700","13.69.116.107","10.101.1.28","TLSv1.2","123","Application Data"
"121","24.571929200","10.101.1.28","13.69.116.107","TCP","54","57651  >  443 [ACK] Seq=371 Ack=4356 Win=65280 Len=0"
"122","24.582044900","10.101.1.28","13.69.116.107","TLSv1.2","141","Application Data"
"123","24.582221200","10.101.1.28","13.69.116.107","TLSv1.2","964","Application Data"
"124","24.582360300","10.101.1.28","13.69.116.107","TLSv1.2","92","Application Data"
